"product_id","transaction_id","store_name","location","quantity","price","date","product_name","category","total_amount"
"103","1004","Electro Central","Los Angeles","5","499.99","2023-01-18","High-End Laptop","Electronics","2499.95"
"105","1008","Electro Central","Los Angeles","8","349.99","2023-01-22","Smartwatch","Electronics","2799.92"
"106","1009","Digital World","Chicago","9","89.99","2023-01-23","Bluetooth Speaker","Electronics","809.91"
"109","1012","Digital World","Chicago","4","39.99","2023-01-26","USB-C Cable","Accessories","159.96"
"111","1014","Electro Central","Los Angeles","7","299.99","2023-01-28","DSLR Camera","Electronics","2099.93"
"112","1015","Digital World","Chicago","6","199.99","2023-01-29","Action Camera","Electronics","1199.9401"
"113","1016","Tech Haven","New York","10","499.99","2023-01-30","Gaming Console","Electronics","4999.9"
"107","1010","Tech Haven","New York","3","249.99","2023-01-24","Tablet","Electronics","749.97003"
"104","1005","Digital World","Chicago","12","129.99","2023-01-19","Noise-Canceling Headphones","Electronics","1559.8801"
"104","1007","Tech Haven","New York","6","129.99","2023-01-21","Noise-Canceling Headphones","Electronics","779.94006"
